FT     PID     QT     WT
------------------------------
 1       1       1       0
 2       8       2       0
 4      13       2       1
 4       9       2       1
 6      10       2       2
 6      19       4       1
10       5       2       4
10      36       8       1
11       3       1       5
11      15       3       4
11      25       7       2
11      38       9       1
12      20       4       4
13       4       1       6
13      22       7       3
13      47      11       1
13      45      11       1
14       7       2       6
14      31       8       3
15      18       3       6
15      29       7       4
15      30       7       4
15      23       7       4
16      14       2       7
17      26       7       5
18      12       2       8
18      32       8       5
19       2       1       9
19      28       7       6
19      40       9       5
19      39       9       6
19      63      17       1
19      69      19       0
19      73      19       0
20      33       8       6
20      42      10       5
21      16       3       9
22      54      14       4
22      75      20       1
23      24       7       8
23      71      19       2
23      79      21       1
24      27       7      11
24      53      14       5
24      56      14       5
24      11       2      17
24      41      10      13
25      17       3      11
26      62      17       6
27      80      21       5
28      46      11      11
28      68      18       5
28      77      20       4
29      35       8      14
29      49      11      11
29      52      11      18
32      87      22       5
32      74      19      12
33      43      11      11
33      48      11      11
33      70      19       7
34      67      18       8
34      88      22       6
34      85      22       6
35      37       9      13
35      34       8      22
36       6       2      22
36      58      16      10
36      76      20       8
36      51      11      17
36      61      16      19
37      72      19      12
39      81      21       9
40      55      14      13
41      65      18      15
43      82      22      18
48      90      23      21
50      59      16      27
51      78      20      22
51      83      22      22
52      44      11      33
54      84      22      24
57      21       4      43
57      50      11      44
80      57      16      53
93      60      16      71
94      66      18      68
103      86      22      77
112      64      18      90
117      89      23      92
...............................
Patients: 90       [NP: 35,SP: 26,EP: 29]
Hospitals: 5
Cars: 43      [Scars: 22,NCars: 21]
Avg busy time = 22
Avg Utilization = 18%
